###
# AVA Chat Engine is a chat bot API.
# 
# Copyright (C) 2015-2019  Asurion, LLC
# 
# AVA Chat Engine is free software: you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3 of the License, or
# (at your option) any later version.
# 
# AVA Chat Engine is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
# GNU General Public License for more details.
# 
# You should have received a copy of the GNU General Public License
# along with AVA Chat Engine.  If not, see <https://www.gnu.org/licenses/>.
###
Model_Code,Make,Model,Display Name
APPIPHO1,Apple,iPhone,Apple iPhone
APPIPHO2,Apple,iPhone 2,Apple iPhone 2
APPIPHO3,Apple,iPhone 3,Apple iPhone 3
APPIPHO3G,Apple,iPhone 3G,Apple iPhone 3G
APPIPHO3GS,Apple,iPhone 3GS,Apple iPhone 3GS
APPIPHO4,Apple,iPhone 4,Apple iPhone 4
APPIPHO4S,Apple,iPhone 4s,Apple iPhone 4S
APPIPHO5,Apple,iPhone 5,Apple iPhone 5
APPIPHO5S,Apple,iPhone 5s,Apple iPhone 5S
APPIPHO5C,Apple,iPhone 5c,Apple iPhone 5C
APPIPHO6,Apple,iPhone 6,Apple iPhone 6
APPIPHO6P,Apple,iPhone 6 Plus,Apple iPhone 6 Plus
APPIPHO6P,Apple,iPhone 6+,Apple iPhone 6 Plus
APPIPHO6P,Apple,iPhone 6 +,Apple iPhone 6 Plus
APPIPHO6P,Apple,iPhone 6p,Apple iPhone 6 Plus
APPIPHO6S,Apple,iPhone 6s,Apple iPhone 6S
APPIPHO6SP,Apple,iPhone 6s Plus,Apple iPhone 6S Plus
APPIPHO6SP,Apple,iPhone 6s+,Apple iPhone 6S Plus
APPIPHO6SP,Apple,iPhone 6sp,Apple iPhone 6S Plus
APPIPHO6SP,Apple,iPhone 6s +,Apple iPhone 6S Plus
APPIPHOSE,Apple,iPhone se,Apple iPhone SE
APPIPHO7,Apple,iPhone 7,Apple iPhone 7
APPIPHO7P,Apple,iPhone 7 Plus,Apple iPhone 7 Plus
APPIPHO7P,Apple,iPhone 7+,Apple iPhone 7 Plus
APPIPHO7P,Apple,iPhone 7p,Apple iPhone 7 Plus
APPIPHO7P,Apple,iPhone 7 +,Apple iPhone 7 Plus
APPIPHO8,Apple,iphone 8,Apple iPhone 8
APPIPHO8P,Apple,iphone 8 Plus,Apple iPhone 8 Plus
APPIPHO8P,Apple,iphone 8+,Apple iPhone 8 Plus
APPIPHO8P,Apple,iphone 8p,Apple iPhone 8 Plus
APPIPHO8P,Apple,iphone 8 +,Apple iPhone 8 Plus
APPIPHOX,Apple,X,Apple iPhone X
APPIPHOX,Apple,iPhone X,Apple iPhone X
APPIPHOXR,Apple,XR,Apple iPhone XR
APPIPHOXR,Apple,iPhone XR,Apple iPhone XR
APPIPHOXS,Apple,XS,Apple iPhone XS
APPIPHOXS,Apple,iPhone XS,Apple iPhone XS
APPIPHOXSMAX,Apple,XS Max,Apple iPhone XS Max
APPIPHOXSMAX,Apple,iPhone XS Max,Apple iPhone XS Max
APPIPAD2,Apple,iPad 2,Apple iPad 2
APPIPAD3,Apple,iPad 3,Apple iPad 3
APPIPAD4,Apple,iPad 4,Apple iPad 4
APPIPAD2017,Apple,iPad 2017,Apple iPad (2017)
APPIPADAIR,Apple,iPad Air,Apple iPad Air
APPIPADAIR2,Apple,iPad Air 2,Apple iPad Air 2
APPIPADMINI,Apple,iPad Mini,Apple iPad Mini
APPIPADMINI2,Apple,iPad Mini 2,Apple iPad Mini 2
APPIPADMINI3,Apple,iPad Mini 3,Apple iPad Mini 3
APPIPADMINI4,Apple,iPad Mini 4,Apple iPad Mini 4
APPIPADPRO,Apple,iPad Pro,Apple iPad Pro
APPIPADPRO2,Apple,iPad Pro 2,Apple iPad Pro 2
APPIPAD,Apple,iPad,Apple iPad
APPWATCHNIKE,Apple,Watch Nike,Apple Watch Nike
APPWATCH3,Apple,Watch 3,Apple Watch Series 3
htc one sv,htc, one sv,Htc  One Sv
